	gene	group	pval
337	ACTR1A	AECOPD	0.058234231521749114
338	ACTR1A	StableCOPD	0.8083651382674683
339	ACTR1B	AECOPD	0.5549354039893774
340	ACTR1B	StableCOPD	0.9572679014129671
341	ACTR2	AECOPD	0.0001516254860927102
342	ACTR2	StableCOPD	0.718175854129079
343	ACTR3	AECOPD	0.0007360349616767348
344	ACTR3	StableCOPD	0.8623633490521123
345	ACTR3B	AECOPD	0.040377202115752575
346	ACTR3B	StableCOPD	0.9972524264899714
347	ACTR3C	AECOPD	0.16203185548083676
348	ACTR3C	StableCOPD	0.9956945878234554
349	ACTR5	AECOPD	0.9340281206840908
350	ACTR5	StableCOPD	0.8326857388929569
351	ACTR6	AECOPD	0.5544717638150164
352	ACTR6	StableCOPD	0.1003358838927737
353	ACTR8	AECOPD	0.18316057599756297
354	ACTR8	StableCOPD	0.7275188221993016
355	ACTRT3	StableCOPD	0.1068176527343937
356	ACVR1	AECOPD	0.26038798184285106
357	ACVR1	StableCOPD	0.26766773921490616
358	ACVR1B	AECOPD	0.12978249422979604
359	ACVR1B	StableCOPD	0.8928219125328848
360	ACVR1C	AECOPD	0.052536929144521904
361	ACVR1C	StableCOPD	0.3837812166314283
362	ACVR2A	AECOPD	0.704018921854596
363	ACVR2A	StableCOPD	0.7649484794862551
364	ACVR2B	AECOPD	0.24555227514519007
365	ACVR2B	StableCOPD	0.9868535077277322
366	ACVRL1	AECOPD	0.0008019772151660609
367	ACVRL1	StableCOPD	0.0033811523769161633
368	ACY1	AECOPD	0.04509432002699232
369	ACY1	StableCOPD	0.01852720028186805
370	ACY3	AECOPD	0.7715811092963145
371	ACY3	StableCOPD	0.9052897622848196
372	ACYP1	AECOPD	0.9711500126587987
373	ACYP1	StableCOPD	0.20639578592730157
374	ACYP2	AECOPD	0.052964916909411075
375	ACYP2	StableCOPD	0.33397141784202133
376	ADA	AECOPD	0.00010959755768880086
377	ADA	StableCOPD	0.3230952055536571
378	ADAL	AECOPD	0.09622005554336399
379	ADAL	StableCOPD	0.9664469690405316
380	ADAM10	AECOPD	0.9180649171642834
381	ADAM10	StableCOPD	0.8973175087013604
382	ADAM11	AECOPD	0.4408704364143671
383	ADAM11	StableCOPD	0.6797004025188337
384	ADAM12	AECOPD	0.47478920952051407
385	ADAM12	StableCOPD	0.710476329569263
386	ADAM15	AECOPD	3.818872286065478e-06
387	ADAM15	StableCOPD	0.12192248438855258
388	ADAM17	AECOPD	0.19357256089669228
389	ADAM17	StableCOPD	0.4909671775276039
390	ADAM19	AECOPD	0.034536256540064425
391	ADAM19	StableCOPD	0.04762960782252579
392	ADAM1A	AECOPD	0.7663271020415936
393	ADAM1A	StableCOPD	0.29750611833675944
394	ADAM20P1	AECOPD	0.6101215006005196
395	ADAM20P1	StableCOPD	0.7920956343982495
396	ADAM22	AECOPD	0.004814492903993273
397	ADAM22	StableCOPD	0.8567124079528451
398	ADAM23	AECOPD	0.7420065815275891
399	ADAM23	StableCOPD	0.5160308955787549
400	ADAM28	AECOPD	0.933659366907359
401	ADAM28	StableCOPD	0.947890177548454
402	ADAM8	AECOPD	0.4574534270037277
403	ADAM8	StableCOPD	0.022802501337737757
404	ADAM9	AECOPD	0.00018783351869577913
405	ADAM9	StableCOPD	0.04948432890622867
406	ADAMDEC1	AECOPD	0.4672679685334108
407	ADAMDEC1	StableCOPD	0.5446937528951612
408	ADAMTS1	AECOPD	0.012304232655947156
409	ADAMTS1	StableCOPD	0.07670993723486275
410	ADAMTS10	AECOPD	0.13856325822440296
411	ADAMTS10	StableCOPD	0.046528069156617
412	ADAMTS13	AECOPD	0.23036687408663403
413	ADAMTS13	StableCOPD	0.5682447456019365
414	ADAMTS14	AECOPD	0.032097283256496745
415	ADAMTS14	StableCOPD	0.14340236794064132
416	ADAMTS17	AECOPD	0.856461165444512
417	ADAMTS17	StableCOPD	0.9458664741353724
418	ADAMTS2	AECOPD	0.014579873996696469
419	ADAMTS2	StableCOPD	2.6043435186196007e-09
420	ADAMTS4	AECOPD	0.8474529613106434
421	ADAMTS4	StableCOPD	0.9763720338315062
422	ADAMTS5	AECOPD	0.00010278096609606102
423	ADAMTS5	StableCOPD	0.013221105916828235
424	ADAMTS6	AECOPD	0.2610780734793615
425	ADAMTS6	StableCOPD	0.9404820282915816
426	ADAMTS7P1	AECOPD	0.008224881325392785
427	ADAMTS7P1	StableCOPD	0.1758929278882453
428	ADAMTSL2	StableCOPD	0.6593249770469053
429	ADAMTSL4	AECOPD	0.0004103403318695964
430	ADAMTSL4	StableCOPD	0.033364365560430875
431	ADAMTSL4-AS1	AECOPD	0.8644463611582558
432	ADAMTSL4-AS1	StableCOPD	0.224395498605778
433	ADAMTSL5	AECOPD	0.9647196183350126
434	ADAMTSL5	StableCOPD	0.6515504445878036
435	ADAP1	AECOPD	0.01607494782325114
436	ADAP1	StableCOPD	0.14349612332347528
437	ADAP2	AECOPD	0.0008070090454768142
438	ADAP2	StableCOPD	0.06502206241320407
439	ADAR	AECOPD	0.35782785169343967
440	ADAR	StableCOPD	0.6626246439856013
441	ADARB1	AECOPD	0.6126976070188209
442	ADARB1	StableCOPD	0.9365413854269821
443	ADAT1	AECOPD	0.45449524610276615
444	ADAT1	StableCOPD	0.8093888964415072
445	ADAT2	AECOPD	0.2202761140067736
446	ADAT2	StableCOPD	0.23665082081586308
447	ADAT3	AECOPD	0.9132663414019484
448	ADAT3	StableCOPD	0.4829482393443635
449	ADCK1	AECOPD	0.24844405473545417
450	ADCK1	StableCOPD	0.04403953427368268
451	ADCK2	AECOPD	0.8728483542583974
452	ADCK2	StableCOPD	0.9369672680646801
453	ADCK3	AECOPD	0.7869877126874241
454	ADCK3	StableCOPD	0.014015514353460823
455	ADCK4	AECOPD	0.42137674696487604
